,Long,Lat,Sand,Prod
194,3.5708,5.7151,40.875,3.775
195,3.5708,5.7186,39.924,3.184
196,3.5708,5.7147,66.123,7.189
197,3.5708,5.7086,62.68,5.493
198,3.5708,5.7082,39.661,3.294
199,3.5708,5.7085,38.285,3.254
200,3.5709,5.7182,39.426,4.666
201,3.5709,5.7085,40.584,4.618
202,3.5709,5.7148,66.12,6.535
203,3.5709,5.7084,67.343,6.802
204,3.5709,5.7076,65.842,5.793
205,3.5709,5.7077,69.394,7.058
206,3.571,5.708,66.1,6.572
207,3.571,5.7083,40.014,3.248
208,3.571,5.7077,68.755,7.152
209,3.571,5.7148,66.621,7.588
210,3.571,5.7185,66.308,6.854
211,3.5711,5.718,39.352,3.161
212,3.5711,5.7077,66.735,6.656
213,3.5711,5.7146,66.218,7.3
214,3.5711,5.7182,38.17,4.063
215,3.5711,5.7079,66.524,7.246
216,3.5711,5.7187,33.98,3.054
217,3.5711,5.7084,40.178,3.545
218,3.5712,5.7184,65.874,6.378
219,3.5712,5.7187,39.774,5.055
220,3.5712,5.7077,66.743,5.689
221,3.5712,5.7186,37.113,4.281
222,3.5712,5.7085,66.511,7.309
223,3.5712,5.7082,37.634,4.408
224,3.5713,5.7182,66.388,7.316
225,3.5713,5.7087,65.892,6.471
226,3.5713,5.7186,37.797,3.431
227,3.5713,5.7179,39.305,4.272
228,3.5714,5.7186,42.519,4.721
229,3.5714,5.7177,40.56,3.717
230,3.5714,5.7147,66.739,5.765
231,3.5714,5.708,76.664,7.881
232,3.5714,5.7081,69.619,7.046
233,3.5714,5.7086,40.011,3.794
234,3.5714,5.718,39.485,3.572
235,3.5714,5.7078,76.352,7.002
236,3.5715,5.7147,66.523,5.669
237,3.5715,5.715,39.927,4.383
238,3.5715,5.7149,66.241,6.705
239,3.5715,5.7179,39.379,4.833
240,3.5715,5.7186,40.736,4.282
241,3.5716,5.7148,66.41,5.968
242,3.5716,5.7082,66.071,6.406
243,3.5716,5.7084,66.528,6.946
244,3.5716,5.7081,40.555,4.856
245,3.5716,5.7087,66.623,6.999
246,3.5716,5.7086,65.958,7.023
247,3.5716,5.7184,39.531,3.847
248,3.5716,5.7186,40.14,4.231
249,3.5716,5.7092,40.108,4.888
